,Öğrenci_Bilgisi,Not_Bilgisi
0,"Ellis, Edgar",94.0
1,"Stewart, Garry",61.0
2,"Bailey, Derek",68.0
3,"Brown, Adrianna",57.0
4,"Ferguson, Clark",67.0
5,"Turner, Samantha",33.0
6,"Henderson, Amy",47.0
7,"Hall, Thomas",56.0
8,"Spencer, Kimberly",57.0
9,"Russell, Kelsey",37.0
10,"Mitchell, Lucas",98.0
11,"Myers, Rafael",63.0
12,"Moore, Maximilian",100.0
13,"Payne, Charlie",67.0
14,"West, Lucia",77.0
15,"Gibson, Isabella",69.0
16,"Scott, Patrick",65.0
17,"Elliott, Gianna",75.0
18,"Hawkins, Lucia",79.0
19,"Wright, Amy",90.0
20,"Perkins, Michael",61.0
21,"Watson, Anna",52.0
22,"Brown, Charlie",56.0
23,"Wright, Frederick",44.0
24,"Miller, Roland",76.0
25,"Gibson, Spike",89.0
26,"Ross, Kelsey",79.0
27,"Harris, Kirsten",68.0
28,"Brooks, James",74.0
29,"Campbell, Oliver",73.0
30,"Dixon, Tara",67.0
31,"Roberts, Adam",52.0
32,"Cooper, Agata",62.0
33,"Smith, Byron",74.0
34,"Scott, Alissa",93.0
35,"Ferguson, Charlotte",86.0
36,"Farrell, Adam",62.0
37,"Richards, Tess",61.0
38,"Stevens, Emma",70.0
39,"Brown, Isabella",64.0
40,"Hall, Miley",49.0
41,"Henderson, Jasmine",78.0
42,"Watson, April",54.0
43,"Ellis, Adrianna",60.0
44,"Moore, Reid",87.0
45,"Richards, George",98.0
46,"Kelly, Jessica",43.0
47,"Murphy, Daniel",66.0
48,"Cameron, Daisy",59.0
49,"Perkins, Oliver",74.0
50,"Davis, James",87.0
51,"Barnes, Clark",44.0
52,"Ryan, Melanie",55.0
53,"Cameron, Amanda",86.0
54,"Bennett, Elise",83.0
55,"Gray, Dominik",82.0
56,"Cunningham, Tyler",62.0
57,"Johnson, Alissa",91.0
58,"Hunt, Daisy",63.0
59,"Miller, Tiana",59.0
60,"Douglas, Melissa",57.0
61,"Myers, Elian",52.0
62,"Brown, Julia",71.0
63,"Martin, Tony",42.0
64,"Bennett, Cadie",76.0
65,"Brooks, Cadie",94.0
66,"Chapman, Alen",83.0
67,"West, Charlie",54.0
68,"Carter, Michael",50.0
69,"West, Elian",47.0
70,"Davis, Preston",68.0
71,"Bailey, Briony",76.0
72,"Wells, Sawyer",52.0
73,"Hill, Elian",65.0
74,"Barrett, Elian",100.0
75,"Foster, Jenna",71.0
76,"Hunt, Chloe",40.0
77,"Armstrong, Paige",95.0
78,"Ellis, Eleanor",100.0
79,"Payne, Carlos",63.0
80,"Perry, Kelvin",80.0
81,"Cameron, Justin",100.0
82,"Foster, Lucia",50.0
83,"Perry, Adam",66.0
84,"Chapman, Adrianna",78.0
85,"Chapman, Ted",43.0
86,"Hall, Spike",78.0
87,"Hunt, Ada",51.0
88,"Adams, Jared",63.0
89,"Farrell, Jared",64.0
90,"Wilson, William",78.0
91,"Bailey, Amanda",60.0
92,"Wright, Kirsten",62.0
93,"Scott, Lily",83.0
94,"Hill, Daniel",74.0
95,"Mitchell, Martin",98.0
96,"Richards, Alford",100.0
97,"Roberts, Annabella",72.0
98,"Spencer, James",78.0
99,"Dixon, Amber",72.0
100,"Howard, Ted",88.0
101,"Harris, William",100.0
102,"Thompson, Kelvin",65.0
103,"Russell, Isabella",70.0
104,"Payne, Briony",54.0
105,"Baker, Frederick",62.0
106,"Johnston, Elian",62.0
107,"Riley, Melissa",60.0
108,"Adams, Adrianna",68.0
109,"Dixon, Garry",52.0
110,"Gray, Aldus",64.0
111,"Alexander, Caroline",79.0
112,"Morrison, Jared",82.0
113,"Myers, Victor",65.0
114,"Brown, William",85.0
115,"Bennett, Oliver",56.0
116,"Ryan, Paige",49.0
117,"Wright, Walter",65.0
118,"Bennett, Kelsey",74.0
119,"Thompson, Melissa",64.0
120,"Reed, Edgar",87.0
121,"Adams, Olivia",22.0
122,"Bennett, Arthur",71.0
123,"Hunt, Camila",97.0
124,"Cameron, Caroline",56.0
125,"Taylor, Amber",86.0
126,"Owens, Tara",76.0
127,"Richardson, Arthur",84.0
128,"Baker, Natalie",63.0
129,"Martin, Aldus",78.0
130,"Morrison, Michael",77.0
131,"Foster, Stella",62.0
132,"Harris, Thomas",92.0
133,"Roberts, Isabella",64.0
134,"Johnston, Eleanor",62.0
135,"Sullivan, Walter",86.0
